"Иванов А.А.";"Программист компании OX2.ru";89255552332
"Сидоров А.Е.";"Дизайне компании OX2.ru";89161231212
"Пирожков А.Б.";"Арт-директор OX2.ru";84951232121
"Кулибин Б.А.";"Менеджер OX2.ru";89031233333Тест;"Тестовое название организации";99999999
Тест2;"Тестовое название организации2";11111111
Тест;"Тестовое название организации";99999999
Тест;"Тестовое название организации";99999999
Тест;"Тестовое название организации";99999999
Тест;"Тестовое название организации";99999999
Тест;"Тестовое название организации";99999999
Тест;"Тестовое название организации";99999999
Тест;"Тестовое название организации";99999999
Тест;"Тестовое название организации";99999999
Тест2;"Тестовое название организации2";11111111
Тест;"Тестовое название организации";99999999
Тест2;"Тестовое название организации2";11111111
Тест;"Тестовое название организации";99999999
Тест2;"Тестовое название организации2";11111111
Тест;"Тестовое название организации";99999999
Тест2;"Тестовое название организации2";11111111
Тест;"Тестовое название организации";99999999
Тест2;"Тестовое название организации2";11111111
